WKT,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.4025372999919 -34.6348269548735)",1184,Hospital Sarda - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Esteban de Luca,2151,,"LUCA, ESTEBAN DE 2151",Parque Patricios,Comuna 4
"POINT (-58.4025372999919 -34.6348269548735)",1183,Hospital Sarda - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Esteban de Luca,2151,,"LUCA, ESTEBAN DE 2151",Parque Patricios,Comuna 4
"POINT (-58.515802290081 -34.6493579182983)",1182,Hospital Santojanni - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Pilar,950,,PILAR 950,Liniers,Comuna 9
"POINT (-58.515802290081 -34.6493579182983)",1181,Hospital Santojanni - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Pilar,950,,PILAR 950,Liniers,Comuna 9
"POINT (-58.4008087191107 -34.5843581999009)",1180,Hospital Rivadavia - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Av. Gral. Las Heras,2670,,LAS HERAS GENERAL AV. 2670,Recoleta,Comuna 2
"POINT (-58.4008087191107 -34.5843581999009)",1179,Hospital Rivadavia - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Av. Gral. Las Heras,2670,,LAS HERAS GENERAL AV. 2670,Recoleta,Comuna 2
"POINT (-58.4093983130713 -34.6176245204943)",1178,Hospital Ramos Mejia - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Gral. Urquiza,609,,"URQUIZA, GRAL. 609",Balvanera,Comuna 3
"POINT (-58.4093983130713 -34.6176245204943)",1177,Hospital Ramos Mejia - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Gral. Urquiza,609,,"URQUIZA, GRAL. 609",Balvanera,Comuna 3
"POINT (-58.4709860832213 -34.5651077473183)",1176,Hospital Pirovano - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Monroe,3555,,MONROE AV. 3555,Coghlan,Comuna 12
"POINT (-58.4709860832213 -34.5651077473183)",1175,Hospital Pirovano - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Monroe,3555,,MONROE AV. 3555,Coghlan,Comuna 12
"POINT (-58.4544312225038 -34.643352443674)",1174,Hospital Piñero - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Crisóstomo Álvarez,2602,,"ALVAREZ, CRISOSTOMO 2602",Flores,Comuna 7
"POINT (-58.4544312225038 -34.643352443674)",1173,Hospital Piñero - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Crisóstomo Álvarez,2602,,"ALVAREZ, CRISOSTOMO 2602",Flores,Comuna 7
"POINT (-58.4114106022984 -34.6430565960056)",1172,Hospital Penna - Guardia.,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Dr. Prof Pedro Chutro,3380,,"CHUTRO, PEDRO, PROF., DR. 3380",Parque Patricios,Comuna 4
"POINT (-58.4114106022984 -34.6430565960056)",1171,Hospital Penna - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Dr. Prof Pedro Chutro,3380,,"CHUTRO, PEDRO, PROF., DR. 3380",Parque Patricios,Comuna 4
"POINT (-58.4107297732303 -34.5945260288865)",1170,Hospital Gutierrez - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Gallo,1330,,GALLO 1330,Recoleta,Comuna 2
"POINT (-58.4107297732303 -34.5945260288865)",1169,Hospital Gutierrez - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Gallo,1330,,GALLO 1330,Recoleta,Comuna 2
"POINT (-58.4067587715293 -34.5810452388456)",1168,Hospital Fernandez - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Cerviño,3356,,CERVIÑO AV. 3356,Palermo,Comuna 14
"POINT (-58.4067587715293 -34.5810452388456)",1167,Hospital Fernandez - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Cerviño,3356,,CERVIÑO AV. 3356,Palermo,Comuna 14
"POINT (-58.3776089749903 -34.6289107083515)",1166,Hospital Elizalde - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Av Manuel Montes de Oca,40,,"MONTES DE OCA, MANUEL AV. 40",Barracas,Comuna 4
"POINT (-58.3776089749903 -34.6289107083515)",1165,Hospital Elizalde - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Av Manuel Montes de Oca,40,,"MONTES DE OCA, MANUEL AV. 40",Barracas,Comuna 4
"POINT (-58.4378872409768 -34.6088751186439)",1164,Hospital Durand - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Av. Díaz Vélez,5044,,DIAZ VELEZ AV. 5044,Caballito,Comuna 6
"POINT (-58.4378872409768 -34.6088751186439)",1163,Hospital Durand - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Av. Díaz Vélez,5044,,DIAZ VELEZ AV. 5044,Caballito,Comuna 6
"POINT (-58.366023345923 -34.6277858547459)",1162,Hospital Argerich - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Pi y Margall,750,,PI Y MARGALL 750,Boca,Comuna 4
"POINT (-58.366023345923 -34.6277858547459)",1161,Hospital Argerich - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Pi y Margall,750,,PI Y MARGALL 750,Boca,Comuna 4
"POINT (-58.4694218564536 -34.6242960974224)",1160,Hospital Alvarez - Guardia,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Dr. Juan Felipe Aranguren,2701,,"ARANGUREN, JUAN F., DR. 2701",Flores,Comuna 7
"POINT (-58.4694218564536 -34.6242960974224)",1159,Hospital Alvarez - CE,Hospitales y Centros de Salud,,Proy. Salas de Espera Hospitales,Disponible,Hospitales,Dr. Juan Felipe Aranguren,2701,,"ARANGUREN, JUAN F., DR. 2701",Flores,Comuna 7
"POINT (-58.4036664853862 -34.5985821325455)",1156,Estación Córdoba - Línea H,Subte,,,Disponible,Línea H,PUEYRREDON AV.,999,CÓRDOBA AV.,PUEYRREDON AV. 999,Balvanera,Comuna 3
"POINT (-58.402222442725 -34.5943829841057)",1153,Estación Santa Fe - Línea H,Subte,,,Disponible,Línea H,PUEYRREDON AV.,1401,SANTA FE AV.,PUEYRREDON AV. 1401,Recoleta,Comuna 2
"POINT (-58.3972466023343 -34.5874735182596)",1150,Estación Las Heras - Línea H,Subte,,,Disponible,Línea H,PUEYRREDON AV.,2199,LAS HERAS AV.,PUEYRREDON AV. 2199,Recoleta,Comuna 2
"POINT (-58.4359154983254 -34.6642926581946)",1148,"Metrobus Sur Roca, Estación La Fuente",Metrobus,Segunda Etapa HRL,,Disponible,Sur Roca,Av. Int. Francisco Rabanal,2950,La fuente y Rabanal,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",Villa Soldati,Comuna 8
"POINT (-58.3739459746051 -34.5950680443597)",1147,"Espacio Público, Ricardo Rojas 460",Espacio Público,Segunda Etapa HRL,,Disponible,Espacio Público,Dr. Ricardo Rojas,460,,"ROJAS, RICARDO, DR. 460",Retiro,Comuna 1
"POINT (-58.4688637998626 -34.630621399177)",1138,Estación San Pedrito  - Linea A,Subte,,,Disponible,Linea A,RIVADAVIA AV.,7350,NAZCA AV.,RIVADAVIA AV. 7350,Flores,Comuna 7
"POINT (-58.463545095146 -34.6290852654106)",1135,Estación San Jose de Flores - Linea A,Subte,,,Disponible,Linea A,RIVADAVIA AV.,6900,,RIVADAVIA AV. 6900,Flores,Comuna 7
"POINT (-58.4115616974312 -34.5697774971687)",1134,Planetario - Espacios Comunes,Parques y Plazas,Ejecutados 2017,Diciembre 2017,Disponible,Planetario,SARMIENTO AV.,0,"ROLDAN, BELISARIO AV.","SARMIENTO AV. y ROLDAN, BELISARIO AV.",Palermo,Comuna 14
"POINT (-58.4117895684103 -34.5695948991741)",1120,Planetario - Oficina,Parques y Plazas,Ejecutados 2017,Diciembre 2017,Disponible,Planetario,SARMIENTO AV.,0,"ROLDAN, BELISARIO AV.","SARMIENTO AV. y ROLDAN, BELISARIO AV.",Palermo,Comuna 14
"POINT (-58.4118329848965 -34.5698802754878)",1119,Planetario - Frente,Parques y Plazas,Ejecutados 2017,Diciembre 2017,Disponible,Planetario,SARMIENTO AV.,0,"ROLDAN, BELISARIO AV.","SARMIENTO AV. y ROLDAN, BELISARIO AV.",Palermo,Comuna 14
"POINT (-58.4124037275788 -34.5703649897348)",1118,Planetario - Torre Frontal Av Roldan,Parques y Plazas,Ejecutados 2017,Diciembre 2017,Disponible,Planetario,SARMIENTO AV.,0,"ROLDAN, BELISARIO AV.","SARMIENTO AV. y ROLDAN, BELISARIO AV.",Palermo,Comuna 14
"POINT (-58.4110418697021 -34.56979781131)",1117,Planetario - Torre Der Av Sarmiento,Parques y Plazas,Ejecutados 2017,Diciembre 2017,Disponible,Planetario,SARMIENTO AV.,0,"ROLDAN, BELISARIO AV.","SARMIENTO AV. y ROLDAN, BELISARIO AV.",Palermo,Comuna 14
"POINT (-58.4112198245465 -34.5692720420839)",1116,Planetario - Torre Trasera Av Casares,Parques y Plazas,Ejecutados 2017,Diciembre 2017,Disponible,Planetario,SARMIENTO AV.,0,"ROLDAN, BELISARIO AV.","SARMIENTO AV. y ROLDAN, BELISARIO AV.",Palermo,Comuna 14
"POINT (-58.4567125371735 -34.6266648153041)",1115,Estación Carabobo - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,6401,,RIVADAVIA AV. 6401,Flores,Comuna 7
"POINT (-58.448645990708 -34.6235265353764)",1112,Estación Puan - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,5882,,RIVADAVIA AV. 5882,Caballito,Comuna 6
"POINT (-58.4411769431515 -34.620404288793)",1108,Estación Primera Junta - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,5301,,RIVADAVIA AV. 5301,Caballito,Comuna 6
"POINT (-58.4364317136441 -34.6182822314694)",1104,Estación Acoyte - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,4950,,RIVADAVIA AV. 4950,Caballito,Comuna 6
"POINT (-58.3805714184651 -34.6042447576408)",1100,Estación 9 de Julio - Línea D,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea D,"Saenz Peña, Roque",0,pellegrini,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. y PELLEGRINI, CARLOS",San Nicolas,Comuna 1
"POINT (-58.429501022945 -34.6152069345248)",1098,Estación Rio de Janeiro - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,4502,,RIVADAVIA AV. 4502,Caballito,Comuna 6
"POINT (-58.421813360345 -34.6117721580187)",1094,Estación Castro Barros - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,3900,,RIVADAVIA AV. 3900,Almagro,Comuna 5
"POINT (-58.4350086939463 -34.5751745030618)",1090,Estación Ministro Carranza - Línea D,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea D,dorrego,0,Santa fe,DORREGO y SANTA FE AV.,Palermo,Comuna 14
"POINT (-58.4151864911537 -34.6107801788425)",1089,Estación Loria - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,3401,,RIVADAVIA AV. 3401,Almagro,Comuna 5
"POINT (-58.406710384828 -34.6098149174944)",1085,Estación Plaza Miserere - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,2800,,RIVADAVIA AV. 2800,Balvanera,Comuna 3
"POINT (-58.4023988152792 -34.5944263187465)",1084,Estación Pueyrredón  - Línea D,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea D,Pueyrredon,0,Santa fe,PUEYRREDON AV. y SANTA FE AV.,Recoleta,Comuna 2
"POINT (-58.4012074748445 -34.6098297074511)",1082,Estación Alberti - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,2447,,RIVADAVIA AV. 2447,Balvanera,Comuna 3
"POINT (-58.3739629798376 -34.607801978988)",1080,Estación Catedral - Línea D,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea D,"Saenz Peña, Roque",501,,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 501",San Nicolas,Comuna 1
"POINT (-58.4338151087653 -34.6280168240834)",1077,Estación Jose Maria Moreno - Línea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,Directorio Av.,401,,DIRECTORIO AV. 401,Caballito,Comuna 6
"POINT (-58.4616524516703 -34.6433115390632)",1076,Estación Pza. de los Virreyes - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,"Peron Eva, Av.",3001,,"PERON, EVA AV. 3001",Flores,Comuna 7
"POINT (-58.4578839589404 -34.640136822936)",1073,Estación Varela - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,Varela Av.,901,,VARELA AV. 901,Flores,Comuna 7
"POINT (-58.4502798363998 -34.6363899772838)",1070,Estación Medalla Milagrosa - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,Pumacahua,901,,PUMACAHUA 901,Parque Chacabuco,Comuna 7
"POINT (-58.4421715631366 -34.6310420393935)",1067,Estación Emilio Mitre - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,"Mitre, Emilio",801,,"MITRE, EMILIO 801",Parque Chacabuco,Comuna 7
"POINT (-58.4093881589789 -34.6246512136807)",1063,Estación Gral. Urquiza - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,SAN JUAN AV.,3101,,SAN JUAN AV. 3101,San Cristobal,Comuna 3
"POINT (-58.4029375334822 -34.6238657595808)",1060,Estación Jujuy - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,SAN JUAN AV.,2701,,SAN JUAN AV. 2701,San Cristobal,Comuna 3
"POINT (-58.3970677545734 -34.6231136597281)",1057,Estación Pichincha - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,SAN JUAN AV.,2201,,SAN JUAN AV. 2201,San Cristobal,Comuna 3
"POINT (-58.3915133454683 -34.6227200203349)",1054,Estación Entre Rios - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,ENTRE RIOS,1201,,ENTRE RIOS AV. 1201,San Cristobal,Comuna 3
"POINT (-58.38153460612 -34.6179385239755)",1048,Estación Independencia - Línea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,INDEPENDENCIA AV.,1101,,INDEPENDENCIA AV. 1101,Monserrat,Comuna 1
"POINT (-58.373686645299 -34.6092429157875)",1045,Estación Bolivar - Línea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,BOLIVAR,101,,BOLIVAR 101,Monserrat,Comuna 1
"POINT (-58.4155324203836 -34.6253649734459)",1042,Estación Boedo - Línea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,SAN JUAN AV.,3501,,SAN JUAN AV. 3501,Boedo,Comuna 5
"POINT (-58.3775835169727 -34.6128480689928)",1039,Estación Belgrano - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,PIEDRAS,301,,PIEDRAS 301,Monserrat,Comuna 1
"POINT (-58.4267915188069 -34.6270106367983)",1036,Estación Av. La Plata - Linea E,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea E,Directorio Av.,1,,DIRECTORIO AV. 1,Caballito,Comuna 6
"POINT (-58.3984324971668 -34.6096416189988)",1032,Estación Pasco - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,2000,,RIVADAVIA AV. 2000,Balvanera,Comuna 3
"POINT (-58.3926679003585 -34.6092251076317)",1031,Estación Congreso - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,AV. Rivadavia,1900,,RIVADAVIA AV. 1900,Balvanera,Comuna 3
"POINT (-58.3867752001672 -34.6094083759755)",1028,Estación Saenz Peña - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,De Mayo Av.,1400,,DE MAYO AV. 1400,Monserrat,Comuna 1
"POINT (-58.3822333859121 -34.6090960995112)",1024,Estación Lima - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,De Mayo Av.,1100,,DE MAYO AV. 1100,Monserrat,Comuna 1
"POINT (-58.3790890266416 -34.6088844526952)",1020,Estación Piedra - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,De Mayo Av.,900,,DE MAYO AV. 900,Monserrat,Comuna 1
"POINT (-58.3742678206806 -34.6085569407996)",1016,Estación Peru - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,De Mayo Av.,501,,DE MAYO AV. 501,Monserrat,Comuna 1
"POINT (-58.3709670027952 -34.6088098075856)",1012,Estación Plaza de Mayo - Linea A,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea A,hipolito Yrigoyen,300,,,,
"POINT (-58.3814350330717 -34.6276185189831)",1008,Estación Constitución - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,Brasil,1000,,BRASIL 1000,Constitucion,Comuna 1
"POINT (-58.3799227634165 -34.6219124738269)",1001,Estación San Juan - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,San Juan,1000,,SAN JUAN AV. 1000,Constitucion,Comuna 1
"POINT (-58.3801739310693 -34.6181244270587)",996,Estación Independencia - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,estados unidos,900,,ESTADOS UNIDOS 900,Constitucion,Comuna 1
"POINT (-58.3804455382853 -34.612616493454)",992,Estación Moreno - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,Bernardo de irigoyen,300,,"IRIGOYEN, BERNARDO DE 300",Monserrat,Comuna 1
"POINT (-58.380611415153 -34.6089816818557)",988,Estación Av. De Mayo - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,Carlos Pellegrini,100,,"PELLEGRINI, CARLOS 100",San Nicolas,Comuna 1
"POINT (-58.3795276203496 -34.6048470241063)",985,Estación Diagonal Norte  - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,Sarmiento,900,,SARMIENTO 900,San Nicolas,Comuna 1
"POINT (-58.3781648558478 -34.6017683380729)",982,Estación Lavalle - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,ESMERALDA,600,,ESMERALDA 600,San Nicolas,Comuna 1
"POINT (-58.4742392979882 -34.5812488628148)",976,Estacion De Los Incas - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,DE LOS INCAS AV.,4401,,DE LOS INCAS AV. 4401,Villa Ortuzar,Comuna 15
"POINT (-58.4662290149137 -34.584090367485)",975,Estación Tronador - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,TRONADOR,751,,TRONADOR 751,Villa Ortuzar,Comuna 15
"POINT (-58.4550281941678 -34.5871978274454)",973,Estación Federico Lacroze - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,CORRIENTES AV.,0,OLLEROS,CORRIENTES AV. y OLLEROS,Chacarita,Comuna 15
"POINT (-58.4475761619495 -34.5917141807772)",971,Estación Dorrego - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,CORRIENTES AV.,6201,,CORRIENTES AV. 6201,Chacarita,Comuna 15
"POINT (-58.4312762718364 -34.6021592973156)",968,Estación Angel Gallardo - Linea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,CORRIENTES AV.,4651,,CORRIENTES AV. 4651,Almagro,Comuna 5
"POINT (-58.3778210614244 -34.5950566938277)",967,Estación San Martin - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,Crucero Gral Belgrano,1201,,CRUCERO GRAL. BELGRANO 1201,Retiro,Comuna 1
"POINT (-58.4117611137201 -34.6040792544401)",963,Estación Carlos Gardel - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,CORRIENTES AV.,3201,,CORRIENTES AV. 3201,Balvanera,Comuna 3
"POINT (-58.3740218464687 -34.5911931089645)",960,Estación Retiro - Linea C,Subte,Segunda etapa HRL,Julio-2017,Disponible,Linea C,Crucero Gral Belgrano,1201,,CRUCERO GRAL. BELGRANO 1201,Retiro,Comuna 1
"POINT (-58.3750732484466 -34.6032963233166)",953,Estación Florida - Linea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,FLORIDA,401,,FLORIDA 401,San Nicolas,Comuna 1
"POINT (-58.3699269521742 -34.6029883248415)",952,Estación Alem - Linea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,CORRIENTES AV.,100,,CORRIENTES AV. 100,San Nicolas,Comuna 1
"POINT (-58.3994739120811 -34.6046418100931)",950,Estación Pasteur - Linea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,PASTEUR Y CORRIENTES AV.,0,,PASTEUR y CORRIENTES AV.,Balvanera,Comuna 3
"POINT (-58.3923092926259 -34.604420862181)",946,Estación Callao - Línea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,CORRIENTES AV. y CALLAO AV.,0,,CORRIENTES AV. y CALLAO AV.,San Nicolas,Comuna 1
"POINT (-58.380716223312 -34.6036354298612)",942,Estacion Carlos Pellegrini - Linea B,Subte,Segunda etapa HRL,Julio-2017,Disponible,Línea B,Corrientes Av.,1000,,CORRIENTES AV. 1000,San Nicolas,Comuna 1
"POINT (-58.3837293714329 -34.5822253943391)",935,Plaza Ledesma,Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Barrio Social,"GENDARMERIA NACIONAL AV. y WALSH, RODOLFO",0,JURAMENTO AV.,"GENDARMERIA NACIONAL AV. y WALSH, RODOLFO",Retiro,Comuna 1
"POINT (-58.4910030479389 -34.6762247804315)",934,Escenario Piedra Buena,Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Barrio Social,Av. Piedra Buena,3660,,PIEDRA BUENA AV. 3660,Villa Lugano,Comuna 8
"POINT (-58.3717151021407 -34.6043310423038)",933,"Espacio Público, Sarmiento 348",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,SARMIENTO,348,,SARMIENTO 348,San Nicolas,Comuna 1
"POINT (-58.3804169508281 -34.6001648896942)",931,"Espacio Público, Viamonte 950",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,VIAMONTE,950,,VIAMONTE 950,San Nicolas,Comuna 1
"POINT (-58.3774672772797 -34.6000462027665)",930,"Espacio Público, Viamonte 744",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,VIAMONTE,744,,VIAMONTE 744,San Nicolas,Comuna 1
"POINT (-58.3749099978829 -34.608311852288)",929,"Espacio Público, Peru 26",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,PERU,26,,PERU 26,Monserrat,Comuna 1
"POINT (-58.3762305516901 -34.5975782593987)",928,"Espacio Público, Paraguay 656",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,PARAGUAY,656,,PARAGUAY 656,Retiro,Comuna 1
"POINT (-58.3785095240082 -34.5959518989643)",927,"Espacio Público, Esmeralda 1048",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,ESMERALDA,1048,,ESMERALDA 1048,Retiro,Comuna 1
"POINT (-58.3779328436246 -34.6066336308134)",926,"Espacio Público, Esmeralda 138",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,ESMERALDA,138,,ESMERALDA 138,San Nicolas,Comuna 1
"POINT (-58.3728879784775 -34.5975950316101)",925,"Espacio Público, Reconquista 875",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,RECONQUISTA,875,,RECONQUISTA 875,Retiro,Comuna 1
"POINT (-58.3712819545944 -34.6010973922664)",924,"Espacio Público, 25 de mayo 574",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,25 de mayo,574,,25 DE MAYO 574,San Nicolas,Comuna 1
"POINT (-58.376515412461 -34.6052985503894)",923,"Espacio Público, Maipu 241",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,MAIPU,241,,MAIPU 241,San Nicolas,Comuna 1
"POINT (-58.3739762152377 -34.6017104845223)",922,"Espacio Público, San Martín 540",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,SAN MARTIN,540,,SAN MARTIN 540,San Nicolas,Comuna 1
"POINT (-58.4199467803627 -34.5927265568355)",920,"Parques y Plazas, Plaza Unidad Latinoamericana",Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Parques y Plazas,EL SALVADOR,4037,,EL SALVADOR 4037,Palermo,Comuna 14
"POINT (-58.3980963527994 -34.6113512917655)",919,"Parques y Plazas, Plaza Primero de Mayo",Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Parques y Plazas,"ALSINA, ADOLFO",2251,,"ALSINA, ADOLFO 2251",Balvanera,Comuna 3
"POINT (-58.5214468491499 -34.6336388419413)",918,"Metrobus Juan B. Justo, Estación Vélez Sarsfield",Metrobus,Segunda etapa HRL,2015,Disponible,Juan B. Justo,Av. J. B. Justo,9249,,"JUSTO, JUAN B. AV. 9249",Versalles,Comuna 10
"POINT (-58.5127048779186 -34.598801499824)",916,"Parques y Plazas, Plaza Arenales 2",Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Parques y Plazas,Pareja,3965,,PAREJA 3965,Villa Devoto,Comuna 11
"POINT (-58.5123899400315 -34.6002593209072)",915,"Parques y Plazas, Plaza Arenales 1",Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Parques y Plazas,Mercedes,4004,,MERCEDES 4004,Villa Devoto,Comuna 11
"POINT (-58.3920650695771 -34.6295778142468)",914,"Metrobus Sur Roca, Estación Entre Rios",Metrobus,Segunda etapa HRL,Abril-17,Disponible,Sur Roca,Avenida Brasil,1902,,BRASIL 1902,Parque Patricios,Comuna 4
"POINT (-58.4369869519461 -34.5524653783904)",913,"Parques y Plazas, Plaza Parques Nacionales Argentinos",Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Parques y Plazas,Sucre,647,,"SUCRE, ANTONIO JOSE DE, MCAL. 647",Belgrano,Comuna 13
"POINT (-58.4703005092401 -34.5413943757857)",912,"Parques y Plazas, Plaza Félix Lima",Parques y Plazas,Segunda etapa HRL,Abril-17,Disponible,Parques y Plazas,RAMALLO,2159,,RAMALLO 2159,Nuñez,Comuna 13
"POINT (-58.3781097766979 -34.6018656001877)",911,"Espacio Público, Esmeralda 549",Espacio Público,Segunda etapa HRL,Abril-17,Disponible,Espacio Público,ESMERALDA,549,,ESMERALDA 549,San Nicolas,Comuna 1
