LAT,LNG,ID,NOMBRE,CALLE,ALTURA,PISO_DEPTO,DIRECCION_NORMALIZADA,BARRIO,COMUNA,CP,CPA,DIAS_Y_HORARIO,TELEFONOS,EMAIL,WEB,ACTIVIDAD,OTRAS_ACTIDADES,DEPENDENCIA,PUBLICO,SECTOR
-34.60337017,-58.37741058,1951,LA VIDRIERA DEL LIBRO,CORRIENTES AV.,753,,CORRIENTES AV. 753,SAN NICOLAS,COMUNA 01,1043,C1043AAH,,4325-5472,,,LIBRERIA,,,GENERAL,PRIVADO
-34.62357667,-58.385851,802,LEADER MUSIC,SAN JOSE,1277,,SAN JOSE 1277,CONSTITUCION,COMUNA 01,1136,C1136AAA,LUNES A VIERNES DE 9:00 A 18:00,4309-5100,LEADERMUSIC@LEADERMUSIC.COM,WWW.LEADERMUSIC.COM,SELLO DISCOGRAFICO,,,GENERAL,PRIVADO
-34.60237399,-58.37715524,161,LE CARAVELLE,LAVALLE,726,,LAVALLE 726,SAN NICOLAS,COMUNA 01,1047,C1047AAP,,4322-1673,,,BAR NOTABLE,,,GENERAL,PRIVADO
-34.60425406,-58.38878451,1956,LEER ES MUY BARATO,CORRIENTES AV.,1556,,CORRIENTES AV. 1556,SAN NICOLAS,COMUNA 01,1042,C1042AAO,,,,,LIBRERIA,,,GENERAL,PRIVADO
-34.60409794,-58.37523808,1098,LETEMENDIA CASA EDITORA,FLORIDA,336,PISO 2 DPTO 201,FLORIDA 336,SAN NICOLAS,COMUNA 01,1005,C1005AAH,,4325-1237,INFO@LETEMENDIA.COM,WWW.LETEMENDIA.COM,EDITORIAL,,,,PRIVADO
-34.60276618,-58.38519388,1379,LEXIS NEXIS-ABELEDO PERROT,TALCAHUANO,494,,TALCAHUANO 494,SAN NICOLAS,COMUNA 01,1013,C1013AAJ,,5235-0030,,WWW.LEXISNEXIS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60416596,-58.3887144,1165,LIBERARTE BODEGA CULTURAL,CORRIENTES AV.,1555,,CORRIENTES AV. 1555,SAN NICOLAS,COMUNA 01,1042,C1042AAB,,4375-2341,INFO@LIBERARTETEATRO.COM.AR,HTTP://WWW.LIBERARTETEATRO.COM.AR/,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60161856,-58.37250976,1163,LIBRERIA ANTICUARIA EDGARDO HENSCHEL,RECONQUISTA,533,PISO 1,RECONQUISTA 533,SAN NICOLAS,COMUNA 01,1003,C1003ABK,,4314-4764,HENSCHELANTICUARIA@GMAIL.COM,,LIBRERIA,,,GENERAL,PRIVADO
-34.60416596,-58.3887144,1820,LIBRERIA ANTIGONA. SUCURSAL AV. CORRIENTES.,CORRIENTES AV.,1555,,CORRIENTES AV. 1555,SAN NICOLAS,COMUNA 01,1042,C1042AAB,,4372-8342,ANTIGONALIBERARTE@EDICIONESDELSOL.COM.AR,WWW.ANTIGONALIBROS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60045524,-58.39271354,1166,LIBRERIA ANTIGONA. SUCURSAL CALLAO.,CALLAO AV.,737,,CALLAO AV. 737,SAN NICOLAS,COMUNA 01,1023,C1023AAA,,4812-7364 / 4815-5347,ANTIGONACALLAO@EDICIONESDELSOL.COM.AR,WWW.ANTIGONALIBROS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60415199,-58.38853378,1164,LIBRERIA ANTIGONA. SUCURSAL CENTRO CULTURAL DE LA COOPERACION.,CORRIENTES AV.,1543,,CORRIENTES AV. 1543,SAN NICOLAS,COMUNA 01,1042,C1042AAB,,5077-8013,ANTIGONACCCFGORINI@EDICIONESDELSOL.COM.AR,WWW.ANTIGONALIBROS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.59522522,-58.38278623,1823,LIBRERIA ANTIGONA. SUCURSAL CERRITO.,CERRITO,1128,,CERRITO 1128,RETIRO,COMUNA 01,1010,C1010AAX,,4815-2323,ANTIGONA9DEJULIO@EDICIONESDELSOL.COM.AR,WWW.ANTIGONALIBROS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60377994,-58.38430338,1276,LIBRERIA CUSPIDE. SUCURSAL CORRIENTES.,CORRIENTES AV.,1243,,CORRIENTES AV. 1243,SAN NICOLAS,COMUNA 01,1043,C1043AAM,LUNES A VIERNES DE 9 A 20 / SABADO DE 11 A 20,4382-1865,LIBROS@CUSPIDE.COM,WWW.CUSPIDE.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60400734,-58.38537013,1277,LIBRERIA CUSPIDE. SUCURSAL CORRIENTES II.,CORRIENTES AV.,1316,,CORRIENTES AV. 1316,SAN NICOLAS,COMUNA 01,1043,C1043ABN,LUNES A SABADO DE 9 A 21 / DOMINGO DE 13 A 21,4372-6266,LIBROS@CUSPIDE.COM,WWW.CUSPIDE.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60069705,-58.37540408,1281,LIBRERIA CUSPIDE. SUCURSAL FLORIDA.,FLORIDA,628,,FLORIDA 628,SAN NICOLAS,COMUNA 01,1005,C1005AAN,LUNES A SABADOS DE 9 A 21 / DOMINGOS DE 12 A 20,4328-0575,LIBROS@CUSPIDE.COM,WWW.CUSPIDE.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.59921209,-58.37416981,1282,LIBRERIA CUSPIDE. SUCURSAL GALERIAS PACIFICO.,SAN MARTIN,760,,SAN MARTIN 760,SAN NICOLAS,COMUNA 01,1004,C1004AAP,LUNES A SABADOS DE 10 A 21 / DOMINGOS DE 12 A 21,5555-5280,LIBROS@CUSPIDE.COM,WWW.CUSPIDE.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.59951934,-58.37974225,1283,LIBRERIA CUSPIDE. SUCURSAL SUIPACHA.,SUIPACHA,764,,SUIPACHA 764,SAN NICOLAS,COMUNA 01,1008,C1008AAP,LUNES A VIERNES DE 9 A 19 / SABADOS DE 8:30 A 12:30,4322-8868,LIBROS@CUSPIDE.COM,WWW.CUSPIDE.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.59385763,-58.38448226,1162,LIBRERIA DE ANTAÑO,LIBERTAD,1236,,LIBERTAD 1236,RETIRO,COMUNA 01,1012,C1012AAZ,,5272-1618,INFO@ANTANO.COM.AR,,LIBRERIA,,,GENERAL,PRIVADO
-34.6001101,-58.39154085,1372,LIBRERIA DE LA UNIVERSIDAD DEL SALVADOR,RODRIGUEZ PEÑA,764,,RODRIGUEZ PEÑA 764,SAN NICOLAS,COMUNA 01,1020,C1020ADP,,4815-4826 INT 2490,UDS-PREN@SALVADOR.EDU.AR,WWW.USALVADOR.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60360215,-58.38511351,1498,LIBRERIA DEL JURISTA,TALCAHUANO,427,,TALCAHUANO 427,SAN NICOLAS,COMUNA 01,1013,C1013AAI,,4371-7337,LIBRERIA@DELJURISTA.COM,WWW.DELJURISTA.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60708424,-58.38537523,1332,LIBRERIA DE MUJERES,"RIVAROLA, RODOLFO, DR.",133,,"RIVAROLA, RODOLFO, DR. 133",SAN NICOLAS,COMUNA 01,1015,C1015AAA,LUNES A VIERNES 10 A 20HS / SABADOS 10 A 18HS,4372-5930,LIBRERIAMUJERES@SION.COM,WWW.LIBRERIADEMUJERES.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60388865,-58.3861376,1291,LIBRERIA DICKENS,CORRIENTES AV.,1375,,CORRIENTES AV. 1375,SAN NICOLAS,COMUNA 01,1043,C1043ABA,,4375-1702,,,LIBRERIA,,,GENERAL,PRIVADO
-34.60285877,-58.37671544,1120,LIBRERIA-EDITORIAL CRISTIANA. FUNDACION CRISTIANA DE EVANGELIZACION.,MAIPU,466,,MAIPU 466,SAN NICOLAS,COMUNA 01,1006,C1006ACD,,4322-7943,LEC@FUNCRISEV.COM,WWW.FUNCRISEV.COM/CATALOGO.HTM,EDITORIAL,,,GENERAL,PRIVADO
-34.60279822,-58.38601381,1650,LIBRERIA EL FORO,LAVALLE,1362,PB DPTO 6,LAVALLE 1362,SAN NICOLAS,COMUNA 01,1048,C1048AAH,LUNES A VIERNES DE 10:30 A 19:30,4382-0987,ELFORO@LIBRERIA-ELFORO.COM,WWW.LIBRERIA-ELFORO.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.6021802,-58.37424877,1594,LIBRERIA ENSAYO,LAVALLE,528,,LAVALLE 528,SAN NICOLAS,COMUNA 01,1047,C1047AAL,,4322-0887,,,LIBRERIA,,,GENERAL,PRIVADO
-34.60117868,-58.37701957,1673,LIBRERIA FERNANDEZ BLANCO,TUCUMAN,712,,TUCUMAN 712,SAN NICOLAS,COMUNA 01,1049,C1049AAP,LUNES A VIERNES DE 10:30 A 19:00,4322-1010,FERNANDEZBLANCOLIBROS@GMAIL.COM,WWW.FERNANDEZBLANCO1939.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.61665734,-58.38707634,1663,LIBRERIA HASTINAPURA,CHILE,1477,,CHILE 1477,MONSERRAT,COMUNA 01,1098,C1098ABC,,4381-2096 // 4382-8673,LIBROS@HASTINAPURA.ORG.AR,WWW.HASTINAPURA-LIBROS.ORG.AR,LIBRERIA,,,GENERAL,ONG
-34.5979597,-58.37838064,1662,LIBRERIA HELENA DE BUENOS AIRES,ESMERALDA,882,,ESMERALDA 882,RETIRO,COMUNA 01,1007,C1007ABJ,,4311-1491,INFO@HELENADEBUENOSAIRES.COM.AR,WWW.HELENADEBUENOSAIRES.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60411671,-58.38706505,1661,LIBRERIA HERNANDEZ. SUCURSAL CORRIENTES.,CORRIENTES AV.,1436,,CORRIENTES AV. 1436,SAN NICOLAS,COMUNA 01,1042,C1042AAN,,4372-7845,SUCURSAL@LIBRERIAHERNANDEZ.COM.AR,WWW.LIBRERIAHERNANDEZ.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60384005,-58.38530856,1660,LIBRERIA HERNANDEZ. SUCURSAL CORRIENTES II.,CORRIENTES AV.,1311,,CORRIENTES AV. 1311,SAN NICOLAS,COMUNA 01,1043,C1043ABA,,4373-6106,SUCURSAL@LIBRERIAHERNANDEZ.COM.AR,WWW.LIBRERIAHERNANDEZ.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60291382,-58.38897207,1496,LIBRERIA JURIDICA YNY,LAVALLE,1567,PISO 7 OFICINA 714,LAVALLE 1567,SAN NICOLAS,COMUNA 01,1048,C1048AAK,10 A 17HS,4373-5102,INFO@LIBRERIAYNY.COM.AR,WWW.YNY.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60401501,-58.38550092,819,LIBRERIA LIBERTADOR,CORRIENTES AV.,1318,,CORRIENTES AV. 1318,SAN NICOLAS,COMUNA 01,1043,C1043ABN,LUNES A JUEVES DE 8:00 A 1:00 VIERNES Y SABADOS DE 9:00 A 2:00 DOMINGOS DE 15:00 A 23:00,4373-4357,INFO@EDICIONESLIBERTADOR.COM.AR,WWW.EDICIONESLIBERTADOR.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60257249,-58.37814082,1366,LIBRERIA LOS 7 LOCOS,ESMERALDA,482,,ESMERALDA 482,SAN NICOLAS,COMUNA 01,1007,C1007ABB,,,LOS7LOCOS@HOTMAIL.COM,LIBRERIALOS7LOCOS.BLOGSPOT.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.59831733,-58.37532533,1335,LIBRERIA MEMORIAS DEL SUBSUELO,FLORIDA,835,,FLORIDA 835,RETIRO,COMUNA 01,1005,C1005AAQ,,,MEMORIASSUB@HOTMAIL.COM,WWW.FACEBOOK.COM/MEMORIASDELSUBSUELO,LIBRERIA,,,GENERAL,PRIVADO
-34.62785707,-58.38005548,1689,LIBRERIA NADIR. SUCURSAL BRASIL.,BRASIL,1128,,BRASIL 1128,CONSTITUCION,COMUNA 01,1154,C1154AAT,,4304-9502,CONSTITUCION@LIBRERIASNADIR.COM.AR,WWW.LIBRERIASNADIR.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60518034,-58.39212944,1363,LIBRERIA SANTA FE. SUCURSAL CALLAO.,CALLAO AV.,335,,CALLAO AV. 335,SAN NICOLAS,COMUNA 01,1022,C1022AAD,,5246-4335,,WWW.LSF.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60200904,-58.39231094,1374,LIBRERIA UNIVERSIDAD DE BUENOS AIRES,TUCUMAN,1792,,TUCUMAN 1792,SAN NICOLAS,COMUNA 01,1050,C1050AAJ,,4116-5223,,WWW.LUDEBA.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60200904,-58.39231094,1402,LIBRERIA UNIVERSITARIA DE BUENOS AIRES,TUCUMAN,1792,,TUCUMAN 1792,SAN NICOLAS,COMUNA 01,1050,C1050AAJ,,4116-5223,,WWW.LUDEBA.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60732203,-58.38772252,1158,LIBRERIA Y EDITORIAL ALSINA,PARANA,137,,PARANA 137,SAN NICOLAS,COMUNA 01,1017,C1017AAC,,4373-2942,ALSINA@ALSINA.COM,WWW.LEALSINA.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.58810114,-58.38340148,1495,LIBRERIA YENNY. SUCURSAL AV. DEL LIBERTADOR.,DEL LIBERTADOR AV.,740,,DEL LIBERTADOR AV. 740,RETIRO,COMUNA 01,1001,C1001ABU,10 A 22HS,,,,LIBRERIA,,,GENERAL,PRIVADO
-34.60088964,-58.39145669,1407,LIBRERIA Y SU DOBLE,RODRIGUEZ PEÑA,698,,RODRIGUEZ PEÑA 698,SAN NICOLAS,COMUNA 01,1020,C1020ADN,,4371-7176,YSUDOBLE@YAHOO.COM.AR,Y-SU-DOBLRE.BLOGSPOT.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.60369896,-58.38291738,1960,LIBRO FILM,CORRIENTES AV.,1145,,CORRIENTES AV. 1145,SAN NICOLAS,COMUNA 01,1043,C1043AAL,,4382-6258,LIBROFILM@HOTMAIL.COM,,LIBRERIA,,,GENERAL,PRIVADO
-34.61003817,-58.36352602,1962,LIBROFUTBOL.COM,"COSSETTINI, OLGA",1112,,"COSSETTINI, OLGA 1112",PUERTO MADERO,COMUNA 01,1107,C1107CED,,4506-8805,INFO@LIBROFUTBOL.COM,WWW.LIBROFUTBOL.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60015339,-58.38089567,1963,LIBROS ALUVION,VIAMONTE,989,,VIAMONTE 989,SAN NICOLAS,COMUNA 01,1053,C1053ABS,,4328-3042,ALUVION.LIBROS@HOTMAIL.COM,,LIBRERIA,,,GENERAL,PRIVADO
-34.60658693,-58.38910471,1649,LIBROS FRIEDENTHAL,"PERON, JUAN DOMINGO, TTE. GENERAL",1597,,"PERON, JUAN DOMINGO, TTE. GENERAL 1597",SAN NICOLAS,COMUNA 01,1037,C1037ACC,,4375-0030,INFO@LIBROSFRIEDENTHAL.COM,WWW.LIBROSFRIEDENTHAL.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.62150614,-58.39130374,1326,LO DE CELIA TANGO,HUMBERTO 1°,1783,,HUMBERTO 1° 1783,CONSTITUCION,COMUNA 01,1103,C1103ADI,,4305-6778,,,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.60018839,-58.38080872,1394,L.O.L.A. LITERATURE OF LATIN AMERICA,VIAMONTE,976,PISO 2 DPTO D,VIAMONTE 976,SAN NICOLAS,COMUNA 01,1053,C1053ABT,,4322-3920 / 4577,LOLA@AR.INTER.NET,WWW.LOLA-ONLINE.COM,EDITORIAL,,,GENERAL,PRIVADO
-34.60397484,-58.3847962,325,LOLA MEMBRIVES,CORRIENTES AV.,1280,,CORRIENTES AV. 1280,SAN NICOLAS,COMUNA 01,1043,C1043AAZ,LUNES A DOMINGOS DE 10:00 A 20:00,4381-0076,INFO@LOLAMEMBRIVESTEATRO.COM.AR,WWW.LOLAMEMBRIVESTEATRO.COM.AR,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60851023,-58.37473569,147,LONDON CITY,DE MAYO AV.,599,,DE MAYO AV. 599,MONSERRAT,COMUNA 01,1084,C1084AAA,LUNES A VIERNES DE 8:00 AL CIERRE SABADOS DE 8:00 A 19:00,4342-9057 // 4343-0328,LONDONCITYBAR@FIBERTEL.COM.AR,WWW.LONDONCITYBAR.COM.AR,BAR NOTABLE,,,GENERAL,PRIVADO
-34.60411707,-58.38808222,1971,LORRAINE,CORRIENTES AV.,1513,,CORRIENTES AV. 1513,SAN NICOLAS,COMUNA 01,1042,C1042AAB,,4374-4942,LIBRERIALORRAINE@HOTMAIL.COM,,LIBRERIA,,,GENERAL,PRIVADO
-34.60295549,-58.39231975,174,LOS GALGOS,CALLAO AV.,501,,CALLAO AV. 501,SAN NICOLAS,COMUNA 01,1022,C1022AAF,LUNES A SABADOS DE 8:00 A 21:00,4371-3561,,,BAR NOTABLE,,,GENERAL,PRIVADO
-34.60235838,-58.37859488,1969,LOS LIBROS MAS PEQUEÑOS DEL MUNDO,LAVALLE,835,,LAVALLE 835,SAN NICOLAS,COMUNA 01,1047,C1047AAQ,,4328-0423,,WWW.MINIBOOKS.COM.PE,LIBRERIA,,,GENERAL,PRIVADO
-34.59831733,-58.37532533,1973,LOS SIETE PILARES,FLORIDA,835,,FLORIDA 835,RETIRO,COMUNA 01,1005,C1005AAQ,,4516-0450,INFO@PILARES.COM.AR,WWW.7PILARES.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.62292372,-58.38149571,870,LS 85 - TV CANAL 13,LIMA,1261,,LIMA 1261,CONSTITUCION,COMUNA 01,1138,C1138ACA,,4305-0013,ELTRECETV@ARTEAR.COM,WWW.CANAL13.COM.AR,TELEVISION LOCAL,,,GENERAL,PRIVADO
-34.60377994,-58.38430338,1974,LUCAS. SUCURSAL CORRIENTES.,CORRIENTES AV.,1247,,CORRIENTES AV. 1247,SAN NICOLAS,COMUNA 01,1043,C1043AAM,,4382-4628,LIBRERIASLUCAS@GMAILL.COM.AR,,LIBRERIA,,,GENERAL,PRIVADO
-34.59740826,-58.38699808,1975,LUCAS. SUCURSAL URUGUAY.,URUGUAY,975,,URUGUAY 975,RETIRO,COMUNA 01,1015,C1015ABS,,4813-0687,LIBRERIASLUCAS@GMAILL.COM.AR,,LIBRERIA,,,GENERAL,PRIVADO
-34.62334846,-58.36507375,509,MADERO TANGO,"MOREAU DE JUSTO, ALICIA AV.",2060,,"MOREAU DE JUSTO, ALICIA AV. 2060",PUERTO MADERO,COMUNA 01,1107,C1107AFP,LUNES A DOMIGOS 20:30,4314-6688,,WWW.MADEROTANGO.COM.AR,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.60078127,-58.39083777,1078,MAGISTERIO DEL RIO DE LA PLATA,VIAMONTE,1674,,VIAMONTE 1674,SAN NICOLAS,COMUNA 01,1055,C1055ABF,,4373-1414,,WWW.MAGISTERIO.COM.AR,EDITORIAL,,,,PRIVADO
-34.59758683,-58.37757597,1079,MALAS PALABRAS BUKS,PARAGUAY,749,,PARAGUAY 749,RETIRO,COMUNA 01,1057,C1057AAI,,4311-7551,,WWW.MALASPALABRASBUKS.COM.AR,EDITORIAL,,,,PRIVADO
-34.61885928,-58.3772573,1318,MANSION DANDY ROYAL,PIEDRAS,922,,PIEDRAS 922,SAN TELMO,COMUNA 01,1070,C1070AAT,,4361-3537,INFO@DANDIROYAL.COM.AR,WWW.MANSIONDANDIROYAL.COM/#,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.60194027,-58.39112853,2090,MAR AZUL,TUCUMAN,1700,,TUCUMAN 1700,SAN NICOLAS,COMUNA 01,1050,C1050AAH,,,,,BAR ELEMENTO,,,,
-34.61816998,-58.37590944,274,MARGARITA XIRGU,CHACABUCO,875,,CHACABUCO 875,SAN TELMO,COMUNA 01,1069,C1069AAQ,MARTES A DOMINGOS DE 14:00 A 22:00,4300-8817,INFO@MARGARITAXIRGU.COM,WWW.MARGARITAXIRGU.COM,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.61775772,-58.38248227,375,MARIA ANTONIA DE SAN JOSE MUSEO DE ARTE SACRO,INDEPENDENCIA AV.,1190,PB,INDEPENDENCIA AV. 1190,CONSTITUCION,COMUNA 01,1099,C1099AAY,MARTES,4304-0984,,,MUSEO,,,GENERAL,PRIVADO
-34.60658693,-58.38910471,1023,MARKA,"PERON, JUAN DOMINGO, TTE. GENERAL",1593,PISO 1 DPTO A,"PERON, JUAN DOMINGO, TTE. GENERAL 1593",SAN NICOLAS,COMUNA 01,1037,C1037ACC,,4382-1004,DISCOS@DANIELNAZER.COM.AR,WWW.DANIELNAZER.COM.AR,SELLO DISCOGRAFICO,,,GENERAL,PRIVADO
-34.61557994,-58.37311265,1274,MARTINA CESPEDES,BOLIVAR,660,,BOLIVAR 660,MONSERRAT,COMUNA 01,1066,C1066AAN,,4343-2127,MARTINACESPEDES@ARTES.NET.AR,WWW.,LIBRERIA,,,GENERAL,PRIVADO
-34.60662239,-58.38870746,1388,MELOS EDICIONES MUSICALES S.A.,"PERON, JUAN DOMINGO, TTE. GENERAL",1560,,"PERON, JUAN DOMINGO, TTE. GENERAL 1560",SAN NICOLAS,COMUNA 01,1037,C1037ACD,,4371-9841 / 2 / 3 / INT. 117,,WWW.MELOS.COM.AR,EDITORIAL,,,GENERAL,PRIVADO
-34.60903852,-58.38958633,1830,MENDEZ GOMEZ,RIVADAVIA AV.,1623,,RIVADAVIA AV. 1623,SAN NICOLAS,COMUNA 01,1033,C1033AAG,,4371-0482,,,LIBRERIA,,,GENERAL,PRIVADO
-34.59733776,-58.3733921,1988,MENENDEZ LIBROS,PARAGUAY,431,,PARAGUAY 431,RETIRO,COMUNA 01,1057,C1057AAC,,4311-6665,MARTA@MENENDEZLIBROS.COM.AR,WWW.MENENDEZLIBROS.COM.AR,LIBRERIA,,,GENERAL,PRIVADO
-34.61276535,-58.37062286,1313,MICHELANGELO TANGO,BALCARCE,433,,BALCARCE 433,MONSERRAT,COMUNA 01,1064,C1064AAI,,4342-7007,,,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.60792323,-58.39146299,620,MILONGA EL ARRANQUE,"MITRE, BARTOLOME",1759,,"MITRE, BARTOLOME 1759",SAN NICOLAS,COMUNA 01,1037,C1037ABG,"LUNES, MARTES, JUEVES Y SABADOS DE 15:00 A 21:00",4371-6767,LAARGENTINATANGO@HOTMAIL.COM,,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.60792323,-58.39146299,608,MILONGA NUEVO SALON ARGENTINA,"MITRE, BARTOLOME",1759,,"MITRE, BARTOLOME 1759",SAN NICOLAS,COMUNA 01,1037,C1037ABG,VIERNES Y SABADOS DE 22:00 A 05:00,4371-6767,LAARGENTINATANGO@HOTMAIL.COM,,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.61500878,-58.371813,1768,MIMOTEATRO ESCOBAR-LERCHUNDI,DEFENSA,611,,DEFENSA 611,MONSERRAT,COMUNA 01,1065,C1065AAK,,4342-9411,INFO@GRUPOMIMOTEATRO.COM.AR,WWW.GRUPOMIMOTEATRO.COM.AR,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60753379,-58.3777996,1569,MINISTERIO DE EDUCACION GOBIERNO DE LA CIUDAD DE BUENOS AIRES - BIBLIOTECA CENTRO DE INFORMACION DOCUMENTAL EDUCATIVA,ESMERALDA,55,PISO 1,ESMERALDA 55,SAN NICOLAS,COMUNA 01,1035,C1035ABA,LUNES A VIERNES DE 11:00 A 18:00,4339-1721,CINDE@BUENOSAIRES.ESC.EDU.AR,WWW.BUENOSAIRES.GOB.AR,BIBLIOTECA,CENTRO DE INFORMACION Y PROCESAMIENTO DE DATOS EDUCATIVOS,MINISTERIO DE EDUCACION DEL GOBIERNO DE LA CIUDAD DE BUENOS AIRES.,GENERAL,ESTADO MUNICIPAL
-34.59831733,-58.37532533,1992,MIREYA,FLORIDA,835,,FLORIDA 835,RETIRO,COMUNA 01,1005,C1005AAQ,,4312-5535,KOCHMAXIMILIANO@YAHOO.COM,,LIBRERIA,,,GENERAL,PRIVADO
-34.6158005,-58.37031245,208,MOLIERE CAFE CONCERT,CHILE AV.,299,,CHILE AV. 299,MONSERRAT,COMUNA 01,1098,C1098AAE,LUNES A DOMINGOS DE 19:00 A 23:00,4343-623,INFO@MOLIERE-CAFE.COM,WWW.MOLIERE-CAFE.COM,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.60421679,-58.39038176,1993,MONK,CORRIENTES AV.,1671,,CORRIENTES AV. 1671,SAN NICOLAS,COMUNA 01,1042,C1042AAC,,4371-2332,COMPRO-LIBROS@HOTMAIL.COM,WWW.COMPRO-LIBROS.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.59831733,-58.37532533,1511,MS LIBROS,FLORIDA,835,SS LOCAL 19,FLORIDA 835,RETIRO,COMUNA 01,1005,C1005AAQ,1330 A 1930HS,4832-8468,,WWW.MSLIBROS.8K.COM,LIBRERIA,,,GENERAL,PRIVADO
-34.60381139,-58.38483939,279,MULTITEATRO,CORRIENTES AV.,1283,,CORRIENTES AV. 1283,SAN NICOLAS,COMUNA 01,1043,C1043AAM,LUNES A DOMINGOS DE 10:00 A 23:00,4382-9140//4328-0606,,WWW.MULTITEATRO.COM.AR,"ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)",,,GENERAL,PRIVADO
-34.61861193,-58.37733872,373,MUSEO ARGENTINO DEL TITERE,PIEDRAS,905,PB,PIEDRAS 905,CONSTITUCION,COMUNA 01,1070,C1070AAS,"MARTES A DOMINGOS DE 15:00 A 18:00 MARTES, MIERCOLES Y VIERNES DE 10:00 A 13:00",4307-6917,MUSEO@MUSEOARGDELTITERE.COM.AR,,MUSEO,,,GENERAL,PRIVADO
-34.6149263,-58.37394756,370,MUSEO CARLOS VEGA DEL INSTITUTO NACIONAL DE MUSEOLOGIA,MEXICO,546,,MEXICO 546,MONSERRAT,COMUNA 01,1097,C1097AAL,CERRADO AL PUBLICO POR NO DISPONER DE ESPACIO FISICO,4361-6529/6013,INVEGA@INFOVIA.COM.AR,,MUSEO,,,GENERAL,ESTADO NACIONAL
-34.58106996,-58.37322026,1783,MUSEO CASA DE LA MONEDA. SOCIEDAD DEL ESTADO.,ANTARTIDA ARGENTINA AV.,0,,"ANTARTIDA ARGENTINA AV. Y CASTILLO, RAMON S., PRES. AV.",RETIRO,COMUNA 01,0,0,LUNES A VIERNES DE 10:00 A 16:00,5776-3545,MUSEO@CASADEMONEDA.GOB.AR,WWW.CAMOAR.GOV.AR,MUSEO,,MINISTERIO DE ECONOMIA Y FINANZAS PUBLICAS.,GENERAL,ESTADO NACIONAL
-34.60038089,-58.37682288,1310,MUSEO CULTURAL DEL TANGO,MAIPU,666,,MAIPU 666,SAN NICOLAS,COMUNA 01,1006,C1006ACH,LUNES A SABADOS DE 8:00 AL CIERRE,4326-5445,,,MILONGA Y/O TANGUERIA,,,GENERAL,PRIVADO
-34.59555778,-58.37732611,379,"MUSEO DE ARMAS DE LA NACION ""TENIENTE GENERAL PABLO RICCHIERI""",SANTA FE AV.,702,,SANTA FE AV. 702,RETIRO,COMUNA 01,1059,C1059ABO,LUNES A VIERNES DE 13:00 A 19:00,3211-1071 (INT. 247),MUSEO@CIRCULOMILITAR.ORG,HTTP://MUSEODEARMAS.COM.AR/,MUSEO,,,GENERAL,
